yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2000,AL,ANA,ANA,W,3,162,81.0,82,80,N,N,N,N,864.0,5628.0,1574.0,309.0,34.0,236.0,608.0,1024.0,93.0,52.0,47.0,43.0,869.0,805.0,5.0,5.0,3.0,46.0,4344.0,1534.0,228.0,662.0,846.0,134.0,182.0,0.978,Anaheim Angels,Edison International Field,2066982.0,102.0,103.0,ANA,ANA,ANA
2000,NL,ARI,ARI,W,3,162,81.0,85,77,N,N,N,N,792.0,5527.0,1466.0,282.0,44.0,179.0,535.0,975.0,97.0,44.0,59.0,58.0,754.0,698.0,4.35,16.0,8.0,38.0,4331.0,1441.0,190.0,500.0,1220.0,107.0,138.0,0.982,Arizona Diamondbacks,Bank One Ballpark,2942251.0,105.0,103.0,ARI,ARI,ARI
2000,NL,ATL,ATL,E,1,162,81.0,95,67,Y,N,N,N,810.0,5489.0,1490.0,274.0,26.0,179.0,595.0,1010.0,148.0,56.0,59.0,45.0,714.0,648.0,4.05,13.0,9.0,53.0,4321.0,1428.0,165.0,484.0,1093.0,129.0,138.0,0.979,Atlanta Braves,Turner Field,3234304.0,101.0,99.0,ATL,ATL,ATL
2000,AL,BAL,BAL,E,4,162,81.0,74,88,N,N,N,N,794.0,5549.0,1508.0,310.0,22.0,184.0,558.0,900.0,126.0,65.0,49.0,54.0,913.0,855.0,5.37,14.0,6.0,33.0,4300.0,1547.0,202.0,665.0,1017.0,116.0,151.0,0.981,Baltimore Orioles,Oriole Park at Camden Yards,3297031.0,95.0,96.0,BAL,BAL,BAL
2000,AL,BOS,BOS,E,2,162,81.0,85,77,N,N,N,N,792.0,5630.0,1503.0,316.0,32.0,167.0,611.0,1019.0,43.0,30.0,42.0,48.0,745.0,683.0,4.23,7.0,12.0,46.0,4358.0,1433.0,173.0,498.0,1121.0,109.0,120.0,0.982,Boston Red Sox,Fenway Park II,2585895.0,104.0,103.0,BOS,BOS,BOS
2000,AL,CHA,CHW,C,1,162,81.0,95,67,Y,N,N,N,978.0,5646.0,1615.0,325.0,33.0,216.0,591.0,960.0,119.0,42.0,53.0,61.0,839.0,751.0,4.66,5.0,7.0,43.0,4351.0,1509.0,195.0,614.0,1037.0,133.0,190.0,0.978,Chicago White Sox,Comiskey Park II,1947799.0,102.0,102.0,CHW,CHA,CHA
2000,NL,CHN,CHC,C,6,162,81.0,65,97,N,N,N,N,764.0,5577.0,1426.0,272.0,23.0,183.0,632.0,1120.0,93.0,37.0,54.0,45.0,904.0,849.0,5.25,10.0,5.0,39.0,4364.0,1505.0,231.0,658.0,1143.0,100.0,139.0,0.983,Chicago Cubs,Wrigley Field,2789511.0,97.0,98.0,CHC,CHN,CHN
2000,NL,CIN,CIN,C,2,163,82.0,85,77,N,N,N,N,825.0,5635.0,1545.0,302.0,36.0,200.0,559.0,995.0,100.0,38.0,64.0,58.0,765.0,700.0,4.33,8.0,7.0,42.0,4369.0,1446.0,190.0,659.0,1015.0,111.0,156.0,0.982,Cincinnati Reds,Cinergy Field,2577371.0,102.0,102.0,CIN,CIN,CIN
2000,AL,CLE,CLE,C,2,162,81.0,90,72,N,N,N,N,950.0,5683.0,1639.0,310.0,30.0,221.0,685.0,1057.0,113.0,34.0,51.0,52.0,816.0,775.0,4.84,6.0,5.0,34.0,4327.0,1511.0,173.0,666.0,1213.0,72.0,147.0,0.988,Cleveland Indians,Jacobs Field,3456278.0,101.0,100.0,CLE,CLE,CLE
2000,NL,COL,COL,W,4,162,81.0,82,80,N,N,N,N,968.0,5660.0,1664.0,320.0,53.0,161.0,601.0,907.0,131.0,61.0,42.0,75.0,897.0,835.0,5.26,7.0,2.0,33.0,4290.0,1568.0,221.0,588.0,1001.0,94.0,176.0,0.985,Colorado Rockies,Coors Field,3295129.0,125.0,125.0,COL,COL,COL
2000,AL,DET,DET,C,3,162,81.0,79,83,N,N,N,N,823.0,5644.0,1553.0,307.0,41.0,177.0,562.0,982.0,83.0,38.0,43.0,49.0,827.0,755.0,4.71,6.0,6.0,44.0,4330.0,1583.0,177.0,496.0,978.0,105.0,171.0,0.983,Detroit Tigers,Comerica Park,2438617.0,95.0,95.0,DET,DET,DET
2000,NL,FLO,FLA,E,3,161,81.0,79,82,N,N,N,N,731.0,5509.0,1441.0,274.0,29.0,160.0,540.0,1184.0,168.0,55.0,60.0,51.0,797.0,729.0,4.59,5.0,4.0,48.0,4289.0,1477.0,169.0,650.0,1051.0,125.0,144.0,0.98,Florida Marlins,Pro Player Stadium,1218326.0,94.0,95.0,FLA,FLO,FLO
