yearkey,leaguekey,teamkey,parkkey,spanfirst,spanlast,games,openings,attendance
2007,AL,LAA,ANA01,2007-04-02,2007-09-23,81,81,3365632
2007,NL,LAN,LOS03,2007-04-09,2007-09-30,81,81,3856753
2007,NL,MIL,MIL06,2007-04-02,2007-09-30,81,81,2869144
2007,AL,MIN,MIN03,2007-04-02,2007-09-23,81,81,2296383
2007,AL,NYA,NYC16,2007-04-02,2007-09-24,81,81,4271867
2007,NL,NYN,NYC17,2007-04-09,2007-09-30,81,81,3853955
2007,AL,OAK,OAK01,2007-04-09,2007-09-30,81,81,1921844
2007,NL,PHI,PHI13,2007-04-02,2007-09-30,81,81,3108330
2007,NL,PIT,PIT08,2007-04-09,2007-09-30,81,79,1749142
2007,NL,SDN,SAN02,2007-04-06,2007-09-23,81,81,2790074
2007,AL,SEA,SEA03,2007-04-02,2007-09-30,82,81,2672409
2007,NL,SFN,SFO03,2007-04-03,2007-09-26,81,81,3223202
2007,NL,SLN,STL10,2007-04-01,2007-09-23,81,81,3552180
2007,AL,TBA,LBV01,2007-05-15,2007-05-17,3,3,26917
2007,AL,TBA,STP01,2007-04-06,2007-09-27,78,78,1362189
2007,AL,TEX,ARL02,2007-04-06,2007-09-26,81,79,2353862
2007,AL,TOR,TOR02,2007-04-09,2007-09-30,81,81,2360648
2007,NL,WAS,WAS10,2007-04-02,2007-09-23,81,81,1961579
2008,NL,ARI,PHO01,2008-04-07,2008-09-28,81,81,2509924
2008,NL,ATL,ATL02,2008-03-31,2008-09-21,81,81,2532834
2008,AL,BAL,BAL12,2008-03-31,2008-09-28,80,78,1950075
2008,AL,BOS,BOS07,2008-04-08,2008-09-28,81,81,3048250
2008,AL,CHA,CHI12,2008-04-07,2008-09-30,82,81,2501103
2008,NL,CHN,CHI11,2008-03-31,2008-09-21,81,81,3299840
2008,NL,CIN,CIN09,2008-03-31,2008-09-22,81,81,2058632
2008,AL,CLE,CLE08,2008-03-31,2008-09-21,81,80,2169760
2008,NL,COL,DEN02,2008-04-04,2008-09-21,81,80,2650218
2008,AL,DET,DET05,2008-03-31,2008-09-28,81,81,3202654
2008,NL,FLO,MIA01,2008-03-31,2008-09-21,81,80,1335076
2008,NL,HOU,HOU03,2008-04-07,2008-09-28,78,78,2740888
2008,NL,HOU,MIL06,2008-09-14,2008-09-15,2,2,38599
2008,AL,KCA,KAN06,2008-04-08,2008-09-21,81,79,1578922
2008,AL,LAA,ANA01,2008-04-04,2008-09-28,81,81,3336747
2008,NL,LAN,LOS03,2008-03-31,2008-09-25,81,81,3730553
2008,NL,MIL,MIL06,2008-04-04,2008-09-28,81,81,3068908
2008,AL,MIN,MIN03,2008-03-31,2008-09-28,81,81,2302431
2008,AL,NYA,NYC16,2008-04-01,2008-09-21,81,81,4298655
2008,NL,NYN,NYC17,2008-04-08,2008-09-28,81,79,4042047
2008,AL,OAK,OAK01,2008-04-01,2008-09-21,79,79,1575899
2008,AL,OAK,TOK01,2008-03-25,2008-03-26,2,2,89363
2008,NL,PHI,PHI13,2008-03-31,2008-09-28,81,81,3422583
2008,NL,PIT,PIT08,2008-04-07,2008-09-21,81,80,1609076
2008,NL,SDN,SAN02,2008-03-31,2008-09-28,81,81,2427535
2008,AL,SEA,SEA03,2008-03-31,2008-09-28,81,81,2329702
2008,NL,SFN,SFO03,2008-04-07,2008-09-28,81,81,2863837
2008,NL,SLN,STL10,2008-04-01,2008-09-28,81,81,3430403
2008,AL,TBA,LBV01,2008-04-22,2008-04-24,3,3,26798
2008,AL,TBA,STP01,2008-04-08,2008-09-21,78,78,1785188
2008,AL,TEX,ARL02,2008-04-08,2008-09-24,81,80,1945677
2008,AL,TOR,TOR02,2008-04-04,2008-09-25,81,81,2399786
2008,NL,WAS,WAS11,2008-03-30,2008-09-24,80,80,2320400
2009,NL,ARI,PHO01,2009-04-06,2009-09-27,81,81,2129183
2009,NL,ATL,ATL02,2009-04-10,2009-10-04,81,81,2373631
2009,AL,BAL,BAL12,2009-04-06,2009-10-04,81,81,1907163
2009,AL,BOS,BOS07,2009-04-07,2009-10-04,81,81,3062699
2009,AL,CHA,CHI12,2009-04-07,2009-09-27,81,80,2284163
2009,NL,CHN,CHI11,2009-04-13,2009-10-04,80,80,3168859
2009,NL,CIN,CIN09,2009-04-06,2009-10-04,81,81,1747919
2009,AL,CLE,CLE08,2009-04-10,2009-09-30,81,79,1766242
2009,NL,COL,DEN02,2009-04-10,2009-10-01,81,81,2665080
2009,AL,DET,DET05,2009-04-10,2009-10-04,81,81,2567192
2009,NL,FLO,MIA01,2009-04-06,2009-09-27,81,78,1464109
2009,NL,HOU,HOU03,2009-04-06,2009-09-27,81,81,2521081
2009,AL,KCA,KAN06,2009-04-10,2009-09-27,81,80,1799686
2009,AL,LAA,ANA01,2009-04-06,2009-10-01,81,81,3240386
2009,NL,LAN,LOS03,2009-04-13,2009-10-04,81,81,3761669
2009,NL,MIL,MIL06,2009-04-10,2009-09-27,81,81,3037451
2009,AL,MIN,MIN03,2009-04-06,2009-10-06,82,82,2416237
2009,AL,NYA,NYC21,2009-04-16,2009-09-30,81,81,3719358
2009,NL,NYN,NYC20,2009-04-13,2009-10-04,81,81,3154270
2009,AL,OAK,OAK01,2009-04-10,2009-10-04,81,81,1408783
2009,NL,PHI,PHI13,2009-04-05,2009-10-04,81,81,3600693
2009,NL,PIT,PIT08,2009-04-13,2009-09-28,81,81,1577853
2009,NL,SDN,SAN02,2009-04-06,2009-10-04,81,81,1922603
2009,AL,SEA,SEA03,2009-04-14,2009-10-04,81,81,2195128
2009,NL,SFN,SFO03,2009-04-07,2009-10-01,81,81,2861111
2009,NL,SLN,STL10,2009-04-06,2009-10-04,81,81,3343252
2009,AL,TBA,STP01,2009-04-13,2009-10-04,81,81,1874962
2009,AL,TEX,ARL02,2009-04-06,2009-09-27,81,78,2156016
2009,AL,TOR,TOR02,2009-04-06,2009-09-27,81,81,1876129
2009,NL,WAS,WAS11,2009-04-13,2009-09-30,81,80,1817280
2010,NL,ARI,PHO01,2010-04-05,2010-09-26,81,81,2057224
2010,NL,ATL,ATL02,2010-04-05,2010-10-03,81,81,2510121
2010,AL,BAL,BAL12,2010-04-09,2010-10-03,81,80,1733019
2010,AL,BOS,BOS07,2010-04-04,2010-10-03,81,81,3046445
2010,AL,CHA,CHI12,2010-04-05,2010-10-03,81,81,2194378
2010,NL,CHN,CHI11,2010-04-12,2010-09-26,81,81,3062973
2010,NL,CIN,CIN09,2010-04-05,2010-10-03,81,81,2060550
2010,AL,CLE,CLE08,2010-04-12,2010-09-29,81,80,1391644
2010,NL,COL,DEN02,2010-04-09,2010-09-29,81,80,2875245
2010,AL,DET,DET05,2010-04-09,2010-09-26,81,81,2461237
2010,NL,FLO,MIA01,2010-04-09,2010-10-03,78,78,1469216
2010,NL,FLO,SJU01,2010-06-28,2010-06-30,3,3,55678
2010,NL,HOU,HOU03,2010-04-05,2010-10-03,81,81,2331490
2010,AL,KCA,KAN06,2010-04-05,2010-10-03,81,80,1615326
2010,AL,LAA,ANA01,2010-04-05,2010-09-29,81,81,3250754
2010,NL,LAN,LOS03,2010-04-13,2010-10-03,81,81,3562318
2010,NL,MIL,MIL06,2010-04-05,2010-09-26,81,81,2776531
2010,AL,MIN,MIN04,2010-04-12,2010-10-03,81,81,3223640
2010,AL,NYA,NYC21,2010-04-13,2010-09-26,81,81,3765807
2010,NL,NYN,NYC20,2010-04-05,2010-10-03,81,79,2573077
2010,AL,OAK,OAK01,2010-04-05,2010-09-26,81,81,1418391
2010,NL,PHI,PHI13,2010-04-12,2010-09-26,84,84,3777322
2010,NL,PIT,PIT08,2010-04-05,2010-09-26,81,81,1613399
2010,NL,SDN,SAN02,2010-04-12,2010-09-30,81,81,2131774
2010,AL,SEA,SEA03,2010-04-12,2010-10-03,81,81,2085168
2010,NL,SFN,SFO03,2010-04-09,2010-10-03,81,81,3037267
2010,NL,SLN,STL10,2010-04-12,2010-10-03,81,81,3301218
2010,AL,TBA,STP01,2010-04-06,2010-09-29,81,81,1865002
2010,AL,TEX,ARL02,2010-04-05,2010-10-03,81,81,2505171
2010,AL,TOR,TOR02,2010-04-12,2010-09-29,78,78,1495482
2010,NL,WAS,WAS11,2010-04-05,2010-09-29,81,81,1828065
2011,NL,ARI,PHO01,2011-04-08,2011-09-28,81,81,2105432
2011,NL,ATL,ATL02,2011-04-08,2011-09-28,81,79,2372940
2011,AL,BAL,BAL12,2011-04-04,2011-09-28,81,80,1755461
2011,AL,BOS,BOS07,2011-04-08,2011-09-21,81,81,3054001
2011,AL,CHA,CHI12,2011-04-07,2011-09-28,81,81,2001117
2011,NL,CHN,CHI11,2011-04-01,2011-09-21,81,81,3017966
2011,NL,CIN,CIN09,2011-03-31,2011-09-21,81,81,2213588
2011,AL,CLE,CLE08,2011-04-01,2011-09-25,81,81,1840835
2011,NL,COL,DEN02,2011-04-01,2011-09-21,81,81,2909777
2011,AL,DET,DET05,2011-04-08,2011-09-28,81,81,2642045
2011,NL,FLO,MIA01,2011-04-01,2011-09-28,78,77,1477462
2011,NL,HOU,HOU03,2011-04-08,2011-09-28,81,81,2067016
2011,AL,KCA,KAN06,2011-03-31,2011-09-21,81,81,1724450
2011,AL,LAA,ANA01,2011-04-08,2011-09-28,81,81,3166321
2011,NL,LAN,LOS03,2011-03-31,2011-09-22,81,81,2935139
2011,NL,MIL,MIL06,2011-04-04,2011-09-28,81,81,3071373
2011,AL,MIN,MIN04,2011-04-08,2011-09-28,81,81,3168116
2011,AL,NYA,NYC21,2011-03-31,2011-09-25,81,81,3653680
2011,NL,NYN,NYC20,2011-04-08,2011-09-28,81,78,2352596
2011,AL,OAK,OAK01,2011-04-01,2011-09-22,81,80,1476791
2011,NL,PHI,PHI13,2011-04-01,2011-09-22,81,81,3680718
2011,NL,PIT,PIT08,2011-04-07,2011-09-25,81,80,1940429
2011,NL,SDN,SAN02,2011-04-05,2011-09-28,81,81,2143018
2011,AL,SEA,SEA03,2011-04-08,2011-09-28,84,84,1939421
2011,NL,SFN,SFO03,2011-04-08,2011-09-28,81,81,3387303
2011,NL,SLN,STL10,2011-03-31,2011-09-25,81,81,3093954
2011,AL,TBA,STP01,2011-04-01,2011-09-28,81,81,1529188
2011,AL,TEX,ARL02,2011-04-01,2011-09-25,81,81,2946949
2011,AL,TOR,TOR02,2011-04-01,2011-09-22,81,81,1818103
2011,NL,WAS,WAS11,2011-03-31,2011-09-25,80,78,1940478
2012,NL,ARI,PHO01,2012-04-06,2012-10-03,81,81,2177617
2012,NL,ATL,ATL02,2012-04-13,2012-09-30,81,81,2420171
2012,AL,BAL,BAL12,2012-04-06,2012-09-30,81,79,2102240
2012,AL,BOS,BOS07,2012-04-13,2012-09-26,81,81,3043003
2012,AL,CHA,CHI12,2012-04-13,2012-09-30,81,81,1965955
