playerID,yearID,teamID,lgID,inseason,G,W,L,rank,plyrMgr
sciosmi01,2000,ANA,AL,1,162,82,80,3,N
showabu99,2000,ARI,NL,1,162,85,77,3,N
coxbo01,2000,ATL,NL,1,157,91,66,1,N
corrapa01,2000,ATL,NL,2,5,4,1,1,N
hargrmi01,2000,BAL,AL,1,162,74,88,4,N
williji03,2000,BOS,AL,1,162,85,77,2,N
manueje01,2000,CHA,AL,1,154,92,62,1,N
nossejo01,2000,CHA,AL,2,8,3,5,1,N
baylodo01,2000,CHN,NL,1,162,65,97,6,N
mckeoja99,2000,CIN,NL,1,163,85,77,2,N
manuech01,2000,CLE,AL,1,149,82,67,2,N
littlgr99,2000,CLE,AL,2,13,8,5,2,N
bellbu01,2000,COL,NL,1,160,81,79,4,N
harrato01,2000,COL,NL,2,2,1,1,4,N
garneph01,2000,DET,AL,1,154,75,79,3,N
melvibo01,2000,DET,AL,2,8,4,4,3,N
bolesjo99,2000,FLO,NL,1,159,79,80,3,N
gonzafr99,2000,FLO,NL,2,2,0,2,3,N
dierkla01,2000,HOU,NL,1,162,72,90,4,N
muserto01,2000,KCA,AL,1,162,77,85,4,N
johnsda02,2000,LAN,NL,1,158,83,75,2,N
tracyji01,2000,LAN,NL,2,4,3,1,2,N
lopesda01,2000,MIL,NL,1,163,73,89,3,N
kellyto01,2000,MIN,AL,1,162,69,93,5,N
aloufe01,2000,MON,NL,1,162,67,95,4,N
torrejo01,2000,NYA,AL,1,161,87,74,1,N
valenbo02,2000,NYN,NL,1,162,94,68,2,N
howear01,2000,OAK,AL,1,161,91,70,1,N
francte01,2000,PHI,NL,1,162,65,97,5,N
lamonge01,2000,PIT,NL,1,162,69,93,5,N
bochybr01,2000,SDN,NL,1,162,76,86,5,N
pinielo01,2000,SEA,AL,1,162,91,71,2,N
bakerdu01,2000,SFN,NL,1,162,97,65,1,N
larusto01,2000,SLN,NL,1,162,95,67,1,N
rothsla01,2000,TBA,AL,1,158,67,91,5,N
russebi01,2000,TBA,AL,2,3,2,1,5,N
oatesjo01,2000,TEX,AL,1,162,71,91,4,N
fregoji01,2000,TOR,AL,1,162,83,79,3,N
sciosmi01,2001,ANA,AL,1,162,75,87,3,N
brenlbo01,2001,ARI,NL,1,162,92,70,1,N
coxbo01,2001,ATL,NL,1,162,88,74,1,N
hargrmi01,2001,BAL,AL,1,162,63,98,4,N
williji03,2001,BOS,AL,1,118,65,53,2,N
kerrijo01,2001,BOS,AL,2,43,17,26,2,N
manueje01,2001,CHA,AL,1,162,83,79,3,N
baylodo01,2001,CHN,NL,1,162,88,74,3,N
boonebo01,2001,CIN,NL,1,162,66,96,5,N
manuech01,2001,CLE,AL,1,144,80,64,1,N
littlgr99,2001,CLE,AL,2,18,11,7,1,N
bellbu01,2001,COL,NL,1,162,73,89,5,N
garneph01,2001,DET,AL,1,162,66,96,4,N
bolesjo99,2001,FLO,NL,1,49,22,27,4,N
perezto01,2001,FLO,NL,2,113,54,59,4,N
dierkla01,2001,HOU,NL,1,162,93,69,2,N
muserto01,2001,KCA,AL,1,161,65,96,5,N
quirkja01,2001,KCA,AL,2,1,0,1,5,N
tracyji01,2001,LAN,NL,1,162,86,76,3,N
lopesda01,2001,MIL,NL,1,162,68,94,4,N
kellyto01,2001,MIN,AL,1,162,85,77,2,N
aloufe01,2001,MON,NL,1,53,21,32,5,N
torboje01,2001,MON,NL,2,109,47,62,5,N
torrejo01,2001,NYA,AL,1,161,95,65,1,N
valenbo02,2001,NYN,NL,1,162,82,80,3,N
howear01,2001,OAK,AL,1,162,102,60,2,N
bowala01,2001,PHI,NL,1,162,86,76,2,N
mcclell01,2001,PIT,NL,1,162,62,100,6,N
bochybr01,2001,SDN,NL,1,162,79,83,4,N
pinielo01,2001,SEA,AL,1,158,112,46,1,N
mclarjo99,2001,SEA,AL,2,4,4,0,1,N
bakerdu01,2001,SFN,NL,1,162,90,72,2,N
larusto01,2001,SLN,NL,1,162,93,69,1,N
rothsla01,2001,TBA,AL,1,14,4,10,5,N
mcraeha01,2001,TBA,AL,2,148,58,90,5,N
oatesjo01,2001,TEX,AL,1,28,11,17,4,N
narroje01,2001,TEX,AL,2,134,62,72,4,N
martibu01,2001,TOR,AL,1,159,79,80,3,N
rojasco01,2001,TOR,AL,2,3,1,2,3,N
sciosmi01,2002,ANA,AL,1,162,99,63,2,N
brenlbo01,2002,ARI,NL,1,162,98,64,1,N
coxbo01,2002,ATL,NL,1,161,101,59,1,N
hargrmi01,2002,BAL,AL,1,162,67,95,4,N
littlgr99,2002,BOS,AL,1,162,93,69,2,N
manueje01,2002,CHA,AL,1,162,81,81,2,N
baylodo01,2002,CHN,NL,1,83,34,49,5,N
lachere01,2002,CHN,NL,2,1,0,1,5,N
